### DATA:
#
# 362
#      Q             I(Q)           Error     
1.60406656E-01  2.20035613E-03  1.43660710E-04
1.61611815E-01  2.04413980E-03  1.43349997E-04
1.62816974E-01  2.13020295E-03  1.42778538E-04
1.64022133E-01  2.06846297E-03  1.42024725E-04
1.65227292E-01  2.07275599E-03  1.41734793E-04
1.66432451E-01  2.10265517E-03  1.41195685E-04
1.67637610E-01  1.95568055E-03  1.40521792E-04
1.68842769E-01  1.91491842E-03  1.40068238E-04
1.70047928E-01  2.17209011E-03  1.39466091E-04
1.71253087E-01  1.97887868E-03  1.38870766E-04
1.72458246E-01  1.91507787E-03  1.38264627E-04
1.73663405E-01  1.79596841E-03  1.38007139E-04
1.74868563E-01  1.76388919E-03  1.37242605E-04
1.76073722E-01  1.87224597E-03  1.36937620E-04
1.77278881E-01  1.73692107E-03  1.36418291E-04
1.78484040E-01  1.94761902E-03  1.35928008E-04
1.79689199E-01  1.77157223E-03  1.35600683E-04
1.80894358E-01  1.63697600E-03  1.35112682E-04
1.82099517E-01  1.73454434E-03  1.34747056E-04
1.83304676E-01  1.81872100E-03  1.34165701E-04
1.84509835E-01  1.75340772E-03  1.33779447E-04
1.85714994E-01  1.58089548E-03  1.33349397E-04
1.86920153E-01  1.27816647E-03  1.33074389E-04
1.88125312E-01  1.65185481E-03  1.32507563E-04
1.89330471E-01  1.48917288E-03  1.32021843E-04
1.90535630E-01  1.40096545E-03  1.31456635E-04
1.91740789E-01  1.64067298E-03  1.31095375E-04
1.92945948E-01  1.58404559E-03  1.30765815E-04
1.94151107E-01  1.38666034E-03  1.30234787E-04
1.95356266E-01  1.33460164E-03  1.29847531E-04
1.96561425E-01  1.22388452E-03  1.29473105E-04
1.97766584E-01  1.28830224E-03  1.29195105E-04
1.98971742E-01  1.43443793E-03  1.28577766E-04
2.00176901E-01  1.57566369E-03  1.28286844E-04
2.01382060E-01  1.35688484E-03  1.28072815E-04
2.02587219E-01  1.35152638E-03  1.27315277E-04
2.03792378E-01  1.60632730E-03  1.27243216E-04
2.04997537E-01  1.26709789E-03  1.26904785E-04
2.06202696E-01  1.07757449E-03  1.26597495E-04
2.07407855E-01  1.21272951E-03  1.28176715E-04
2.08613014E-01  1.43190473E-03  1.27885689E-04
2.09818173E-01  1.18401200E-03  1.27516745E-04
2.11023332E-01  1.14860535E-03  1.27170992E-04
2.12228491E-01  1.30383521E-03  1.26784656E-04
2.13433650E-01  1.17628872E-03  1.26357109E-04
2.14638809E-01  1.22714192E-03  1.25868816E-04
2.15843968E-01  1.46136135E-03  1.25610468E-04
2.17049127E-01  1.09574199E-03  1.25080743E-04
2.18254286E-01  9.80496407E-04  1.24959659E-04
2.19459445E-01  1.22401118E-03  1.24531705E-04
2.20664604E-01  1.23360604E-03  1.24310574E-04
2.21869762E-01  1.07737035E-03  1.23739114E-04
2.23074921E-01  1.04702264E-03  1.23419950E-04
2.24280080E-01  1.16947889E-03  1.23205956E-04
2.25485239E-01  1.04680657E-03  1.22735673E-04
2.26690398E-01  1.17396265E-03  1.22644356E-04
2.27895557E-01  1.17287487E-03  1.22096913E-04
2.29100716E-01  9.62942839E-04  1.21785339E-04
2.30305875E-01  1.16772503E-03  1.21521798E-04
2.31511034E-01  1.09379143E-03  1.21188944E-04
2.32716193E-01  1.02909356E-03  1.20876578E-04
2.33921352E-01  8.59761238E-04  1.20773981E-04
2.35126511E-01  1.03583783E-03  1.22323912E-04
2.36331670E-01  9.03679430E-04  1.24751916E-04
2.37536829E-01  8.94412398E-04  1.29048876E-04
2.38741988E-01  1.21680051E-03  1.31110684E-04
2.39947147E-01  8.40796530E-04  1.32642826E-04
2.41152306E-01  8.28085840E-04  1.34261441E-04
2.42357465E-01  9.48174298E-04  1.35561917E-04
2.43562624E-01  9.09866393E-04  1.33499561E-04
2.44767783E-01  1.04128569E-03  1.31455413E-04
2.45972941E-01  8.16650689E-04  1.30540063E-04
2.47178100E-01  8.19271803E-04  1.30012981E-04
2.48383259E-01  8.25281441E-04  1.29649602E-04
2.49588418E-01  1.08458698E-03  1.29266677E-04
2.50793577E-01  9.42851603E-04  1.28952996E-04
2.51998736E-01  1.04269981E-03  1.28427404E-04
2.53203895E-01  9.97880101E-04  1.28248043E-04
2.54409054E-01  8.34281743E-04  1.28045201E-04
2.55614213E-01  8.44809413E-04  1.27969764E-04
2.56819372E-01  9.74225998E-04  1.27544301E-04
2.58024531E-01  8.94175470E-04  1.27656397E-04
2.59229690E-01  8.67608190E-04  1.27183681E-04
2.60434849E-01  9.61294770E-04  1.27053796E-04
2.61640008E-01  9.54560935E-04  1.26994506E-04
2.62845167E-01  6.25763834E-04  1.26629893E-04
2.64050326E-01  1.01100951E-03  1.27369957E-04
2.65255485E-01  7.95404613E-04  1.30771974E-04
2.66460644E-01  8.62696767E-04  1.32117455E-04
2.67665803E-01  8.12573731E-04  1.32715271E-04
2.68870962E-01  6.58546388E-04  1.33430515E-04
2.70076120E-01  7.64311850E-04  1.33921090E-04
2.71281279E-01  6.53283298E-04  1.34354655E-04
2.72486438E-01  8.38737190E-04  1.34907651E-04
2.73691597E-01  6.28232956E-04  1.35001913E-04
2.74896756E-01  8.26726854E-04  1.35429716E-04
2.76101915E-01  6.06596470E-04  1.35588960E-04
2.77307074E-01  7.29016960E-04  1.35956740E-04
2.78512233E-01  7.42313266E-04  1.36479922E-04
2.79717392E-01  6.33049011E-04  1.36543473E-04
2.80922551E-01  6.26014173E-04  1.36582495E-04
2.82127710E-01  7.28571415E-04  1.37150369E-04
2.83332869E-01  8.35251808E-04  1.36868446E-04
2.84538028E-01  7.97022879E-04  1.36943709E-04
2.85743187E-01  5.17334044E-04  1.36582647E-04
2.86948346E-01  6.29326701E-04  1.36655511E-04
2.88153505E-01  6.54917955E-04  1.36633322E-04
2.89358664E-01  5.14064729E-04  1.37030764E-04
2.90563823E-01  7.65849650E-04  1.37227832E-04
2.91768982E-01  8.49759579E-04  1.37380057E-04
2.92974140E-01  6.96322322E-04  1.37633702E-04
2.94179299E-01  7.62848556E-04  1.37514202E-04
2.95384458E-01  8.07677209E-04  1.37681700E-04
2.96589617E-01  5.47534227E-04  1.37937709E-04
2.97794776E-01  4.89570200E-04  1.38093752E-04
2.98999935E-01  5.52551448E-04  1.38189597E-04
3.00205094E-01  5.44153154E-04  1.38375175E-04
3.01410253E-01  4.92800772E-04  1.38451764E-04
3.02615412E-01  5.73694706E-04  1.38690032E-04
3.03820571E-01  5.64284623E-04  1.38693152E-04
3.05025730E-01  7.40425289E-04  1.38507015E-04
3.06230889E-01  6.50784373E-04  1.38892373E-04
3.07436048E-01  5.79521060E-04  1.39135902E-04
3.08641207E-01  4.25486267E-04  1.39119930E-04
3.09846366E-01  5.15732169E-04  1.39273691E-04
3.11051525E-01  4.99047339E-04  1.39487337E-04
3.12256684E-01  3.42112780E-04  1.39349978E-04
3.13461843E-01  3.85287404E-04  1.39595033E-04
3.14667002E-01  2.59421766E-04  1.39842578E-04
3.15872161E-01  5.79902530E-04  1.39599293E-04
3.17077319E-01  4.40074503E-04  1.39832625E-04
3.18282478E-01  4.73541021E-04  1.40051509E-04
3.19487637E-01  4.01186943E-04  1.40164362E-04
3.20692796E-01  4.47726250E-04  1.40297518E-04
3.21897955E-01  3.18607688E-04  1.40247867E-04
3.23103114E-01  4.64266539E-04  1.40357402E-04
3.24308273E-01  5.08518517E-04  1.40498136E-04
3.25513432E-01  3.70748341E-04  1.40634784E-04
3.26718591E-01  3.51090729E-04  1.40694389E-04
3.27923750E-01  3.94994020E-04  1.40921318E-04
3.29128909E-01  3.31418216E-04  1.40526227E-04
3.30334068E-01  5.90182841E-04  1.40441523E-04
3.31539227E-01  4.13867831E-04  1.40466646E-04
3.32744386E-01  3.74257565E-04  1.39849866E-04
3.33949545E-01  4.57632542E-04  1.40013953E-04
3.35154704E-01  3.55006754E-04  1.39431853E-04
3.36359863E-01  4.31589782E-04  1.39283179E-04
3.37565022E-01  2.91359425E-04  1.39078207E-04
3.38770181E-01  2.31021643E-04  1.38996216E-04
3.39975339E-01  5.51223755E-04  1.39027240E-04
3.41180498E-01  4.81958687E-04  1.39085064E-04
3.42385657E-01  4.87031043E-04  1.39136508E-04
3.43590816E-01  3.92332673E-04  1.39353296E-04
3.44795975E-01  5.34087420E-04  1.39270874E-04
3.46001134E-01  2.58186460E-04  1.39341177E-04
3.47206293E-01  5.74068725E-04  1.39465672E-04
3.48411452E-01  4.59815562E-04  1.39561447E-04
3.49616611E-01  1.20405853E-04  1.39631203E-04
3.50821770E-01  2.16990709E-04  1.39702787E-04
3.52026929E-01  4.24690545E-04  1.39790017E-04
3.53232088E-01  1.41493976E-04  1.39701704E-04
3.54437247E-01  1.76216662E-04  1.39215775E-04
3.55642406E-01  2.92472541E-04  1.39095448E-04
3.56847565E-01  3.40251625E-04  1.39042491E-04
3.58052724E-01  1.60047412E-04  1.38692698E-04
3.59257883E-01  1.91143155E-04  1.38519064E-04
3.60463042E-01  2.15820968E-04  1.38921570E-04
3.61668201E-01  3.31228971E-04  1.38466177E-04
3.62873360E-01  2.62688100E-04  1.38879905E-04
3.64078518E-01  2.19923258E-04  1.38804549E-04
3.65283677E-01  7.47635961E-05  1.39031978E-04
3.66488836E-01  3.66924703E-04  1.40241126E-04
3.67693995E-01  2.81314552E-04  1.46042684E-04
3.68899154E-01  3.44638526E-04  1.50304334E-04
3.70104313E-01  1.08735263E-04  1.53777644E-04
3.71309472E-01  4.68212366E-04  1.56765059E-04
3.72514631E-01  2.81275809E-04  1.59523473E-04
3.73719790E-01  1.09370053E-04  1.62134937E-04
3.74924949E-01  4.96695936E-04  1.64796331E-04
3.76130108E-01  1.12791359E-04  1.62028265E-04
3.77335267E-01  1.13062561E-04  1.56653789E-04
3.78540426E-01  6.33457303E-04  1.54710363E-04
3.79745585E-01  1.96130574E-04  1.52942038E-04
3.80950744E-01  3.16241384E-04  1.51953835E-04
3.82155903E-01  2.35159695E-04  1.51235471E-04
3.83361062E-01  4.13165987E-04  1.50697725E-04
3.84566221E-01  3.06478143E-04  1.50148687E-04
3.85771380E-01  3.26682627E-04  1.49580650E-04
3.86976538E-01  1.57786906E-04  1.49310229E-04
3.88181697E-01  2.99675763E-04  1.48905790E-04
3.89386856E-01  2.26622820E-04  1.48910284E-04
3.90592015E-01  3.03436816E-04  1.48547697E-04
3.91797174E-01  2.85787880E-04  1.48237159E-04
3.93002333E-01  2.89154053E-04  1.48191291E-04
3.94207492E-01  2.01019645E-04  1.47996633E-04
3.95412651E-01  3.70234251E-05  1.47734396E-04
3.96617810E-01  9.35792923E-06  1.48025912E-04
3.97822969E-01  2.70915031E-04  1.47557782E-04
3.99028128E-01  2.13478506E-04  1.47422578E-04
4.00233287E-01  1.98325515E-04  1.47372694E-04
4.01438446E-01  -1.30295753E-05  1.47305382E-04
4.02643605E-01  3.08990479E-05  1.47370517E-04
4.03848764E-01  6.56783581E-05  1.47239084E-04
4.05053923E-01  1.25339627E-04  1.46960758E-04
4.06259082E-01  3.03681195E-04  1.47044635E-04
4.07464241E-01  -3.82617116E-05  1.47086487E-04
4.08669400E-01  1.98683143E-04  1.47017196E-04
4.09874559E-01  -6.61104918E-05  1.46746740E-04
4.11079717E-01  2.57025659E-04  1.47079083E-04
4.12284876E-01  7.69272447E-05  1.46844436E-04
4.13490035E-01  3.40595841E-05  1.46676286E-04
4.14695194E-01  -3.54051590E-06  1.46831677E-04
4.15900353E-01  -8.14616680E-05  1.46754074E-04
4.17105512E-01  4.05400991E-05  1.46756379E-04
4.18310671E-01  2.40859389E-04  1.46918825E-04
4.19515830E-01  1.09910965E-05  1.46733096E-04
4.20720989E-01  1.05574727E-04  1.46776275E-04
4.21926148E-01  1.81035697E-04  1.46653096E-04
4.23131307E-01  1.16287172E-04  1.46491767E-04
4.24336466E-01  2.05056369E-04  1.46738382E-04
4.25541625E-01  1.51115656E-04  1.46675925E-04
4.26746784E-01  4.11872566E-04  1.46784005E-04
4.27951943E-01  1.34509802E-04  1.46572758E-04
4.29157102E-01  6.29544258E-05  1.46572920E-04
4.30362261E-01  4.09036875E-05  1.46721466E-04
4.31567420E-01  1.90226734E-04  1.46725285E-04
4.32772579E-01  1.96203589E-04  1.46742864E-04
4.33977738E-01  5.92261553E-05  1.46425143E-04
4.35182896E-01  2.32456625E-04  1.46629591E-04
4.36388055E-01  -2.10773945E-04  1.46517740E-04
4.37593214E-01  9.19967890E-05  1.45829923E-04
4.38798373E-01  1.62532926E-04  1.45264773E-04
4.40003532E-01  8.80286098E-05  1.45193597E-04
4.41208691E-01  1.62738562E-04  1.44689286E-04
4.42413850E-01  -4.02048230E-05  1.44496094E-04


### HEADER:
#
#    "calibration_params": {
#        "Beam_Center_X": 1093.0,
#        "Beam_Center_Y": 2069.0,
#        "Detector Tilt": 0.0,
#        "Detector Tilt Plane Rotation": 0.0,
#        "Detector_X_Pixel_Size": 75.0,
#        "Detector_Y_Pixel_Size": 75.0,
#        "Integration Method": "nosplit_csr",
#        "Radial_Average_Method": "pyFAI",
#        "Sample-to-detector distance (mm)": 1781.0,
#        "Wavelength (A)": 1.0937797326179362
#    },
#    "config_file": "D:\\Pollack_02_02_24\\SAXS_02_02_24.cfg",
#    "counters": {
#        "I1": "0",
#        "I2": "0",
#        "I3": "0",
#        "Seconds": "1"
#    },
#    "filename": "R_S_rC30+PR30, 250uM, 150mM Na, 5min.dat",
#    "history": {
#        "linear_binning": {
#            "final_points": 362,
#            "initial_file": [
#                "S_rC30+PR30, 250uM, 150mM Na, 5min",
#                {
#                    "subtraction": {
#                        "initial_file": [
#                            "rC30+PR30, 250uM, 150mM Na, 5min",
#                            {
#                                "averaged_files": [
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000100_00100.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000001_00001.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000002_00002.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000003_00003.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000004_00004.h5"
#                                    ],
#                                    [
#                                        "RNAPR30_MPsucrose_51_data_000005_00005.h5"
#                                    ],
#                                    [
